industry,title,video_id,description
FSI,AWS re:Invent 2024 - New York Life: Data platform modernization to generative AI innovation (FSI324),aGbNFwI0-ko,"New York Life (NYL) modernized its on-premises data platform to enhance analytics, performance, and automation for its critical insurance operations. To meet these objectives, NYL built a scalable data lake and reporting platform on AWS using AWS Lambda, AWS Glue, Amazon RDS, and Amazon Redshift. In this session, NYL shares lessons learned from moving off its legacy platform to a modern data lake and how having a modern data foundation accelerated their generative AI journey. Learn how NYL is using Amazon SageMaker and Amazon Bedrock to improve employee productivity and front-line agent experience."
FSI,AWS re:Invent 2024 - Scaling secure large language models with Robinhood (FSI317),R9hY1YDlwfk,"This lightning talk shares the design and techniques that form the foundation of Robinhood’s large language model (LLM) platform, which is built on AWS. Learn how the company uses LLM gateways and Amazon Bedrock to deliver private inference, preserving customer confidentiality without sacrificing performance. Gain insights into Robinhood’s architecture and operational model, which enable the company to scale its AI capabilities. Hear how Robinhood uses the security features in Amazon Bedrock to process sensitive data while complying with evolving regulatory standards."
FSI,AWS re:Invent 2024 - Allianz Germany: Accelerating legacy migration with generative AI (FSI323),97-hu-EBcv8,"Allianz Germany faced the challenge of migrating thousands of insurance contracts to their core insurance system, requiring hours of manual effort per contract. In this lightning talk, learn how Allianz built an intelligent document processing pipeline using Amazon Bedrock and additional AWS services, including AWS Lambda and AWS Step Functions, to automatically extract critical details from scanned PDFs and supplementary documents. The pipeline can pull over 150 unique contract attributes with up to 84% accuracy, significantly reducing manual effort. View a live demo and learn how you can apply this approach to streamline legacy processes within your own organization."
FSI,AWS re:Invent 2024 - S&P Global: Scaling data insights with fine-tuned foundational models (FSI313),wY8M0uCYxL4,"To streamline private company data acquisition, curation, and distribution, S&P Global needed to process large volumes of data faster and at greater scale. In this session, learn how S&P Global efficiently processes 100 terabytes daily, optimizing content curation and enabling downstream credit and risk scoring. Explore how S&P Global fine-tuned foundational models using Amazon SageMaker and how they deploy and scale these models on Amazon EKS running up to six million inferences per week. Gain insights into the business challenges, technical implementation, and lessons learned from hosting and scaling fine-tuned foundational models on Amazon EKS."
FSI,AWS re:Invent 2024 - NatWest: Personalizing customer experience with Amazon Connect & AI/ML (FSI316),zbrLI6ktTcg,"NatWest has been at the forefront of innovating with new Amazon Connect features and capabilities to improve the customer experience. In this session, learn how NatWest is using richer data and generative AI within its contact center to innovate faster and drive business value. Explore how NatWest uses Amazon Connect data and analytics capabilities, including Contact Lens, to analyze customer sentiment and inform agent decisions using data points like call volume, handle time, and transfers. Hear how NatWest is using Amazon Q in Connect to improve customer intent detection and deliver more personalized customer interactions at scale."
FSI,AWS re:Invent 2024 - How Stripe achieves five and a half 9s of availability (FSI321),7vn49exuYxo,"Stripe, which processes trillions of dollars in transactions annually across the world, must ensure its systems remain available, fault-tolerant, and resilient in the face of surges in traffic and unexpected failures. This session shares how Stripe architects and operates highly available systems at global scale on AWS. Explore the architectural patterns, monitoring systems, and incident response workflows that enable Stripe to achieve 99.9995% uptime—the gold standard set by emergency response hotlines. Gain practical insights into building resilient distributed systems and elevating the availability of your applications."
FSI,AWS re:Invent 2024 - Klarna: Accelerating credit decisioning with real-time data processing (FSI319),DLYuoyL9bwE,"Klarna, a leader in instant credit and buy now, pay later services, must make fast and accurate decisions to provide a frictionless customer experience. This session shares how Klarna scales credit decisioning in real time using Amazon DynamoDB and AWS Glue. Learn how Klarna aggregates customer data points and condenses them into features such as past orders and outstanding debt to feed machine learning models that inform purchase approvals. See how Klarna’s data pipelines enable the company to rapidly ingest, process, and analyze vast amounts of customer data to securely power instant yet intelligent credit decisions."
FSI,AWS re:Invent 2024 - How Vanguard rebuilt its mission-critical trading application on AWS (FSI322),WpkpqE2Nub8,"Learn how Vanguard rebuilt its retail investor trading platform on AWS to achieve higher resiliency, improve performance, and lower costs by scaling to meet demand. Vanguard adopted AWS Fargate for Amazon ECS to run this mission-critical platform, which uses cloud-native services like Amazon Aurora PostgreSQL-Compatible Edition and Amazon DynamoDB to store and replicate data across Regions, achieving 99.99% availability over the past two years. New features that Vanguard needed months or longer to develop on its legacy mainframe monolith now take only weeks or even days, enabling the company to continuously improve the customer experience and compete effectively."
FSI,"AWS re:Invent 2024 - BBVA: Building a multi-region, multi-country data platform at scale (FSI310)",ZnNcz-2tr_8,"BBVA relies on data and analytics to provide automated business and market insights, increase operational efficiencies, and attract customers. Learn how BBVA built a global data platform that powers its data lake and data mesh architectures. Explore the methodology BBVA employed to migrate their data infrastructure and deploy the multi-region, multi-country data platform with an emphasis on usage controls, security, and regulatory compliance. Learn about the tools developed to automate migration, reduce costs, and accelerate time to value with Amazon Athena, AWS Lake Formation, Amazon SageMaker, and Amazon EMR. Finally, see how the platform lays the foundation for generative AI and data governance."
FSI,AWS re:Invent 2024 - Replatforming for reinvention: Modernizing mainframes at Goldman Sachs (FSI312),lscQmFvnL5M,"Goldman Sachs’ asset management ledger, InvestOne, is the heart of their middle office and responsible for calculating and maintaining their investment portfolio positions. In this session, Goldman Sachs walks through how they migrated this mission-critical mainframe while overcoming challenges such as scale, cost, and technical debt. Gain insights into their COBOL development and deployment framework, as well as how they expedited the migration without compromising their commitment to their customers and business. Learn how their platform ensures scalability, availability, and security using Amazon EBS, AWS Elastic Disaster Recovery, and Amazon RDS and establishes a path for future migrations."
GAM,AWS re:Invent 2024 - Scaling generative AI models for millions of users in Roblox  (GAM310),PR_BdCR-s8o,"Generative AI is the bleeding edge of innovation but can be challenging to build and operate at scale. Discover how Roblox, a large online metaverse platform, identifies and forms their use cases for generative AI applications. Deep dive into Roblox’s integration of AWS services like AWS Deep Learning Containers, Amazon EKS, and Amazon EC2 UltraClusters to rapidly scale ML infrastructure. Learn about the solution architecture, training and serving environments, compute orchestration, and ML application development SDKs. Gain insights into best practices to speed up development and improve model training efficiency for large-scale multi-node distributed workloads serving millions of users."
GAM,"AWS re:Invent 2024 - The evolution story of game architecture: PUBG: Battlegrounds, Krafton (GAM311)",GhYUjTxSOkE,"Learn how PUBG studios has evolved AWS architecture to cover millions of concurrent game users globally. ""PUBG: Battlegrounds"" was initially released with a legacy structure that included Windows servers, but it has been seamlessly modified to enrich a stable game experience by adopting AWS services such as EKS, Graviton and AWS Global Accelerator. Come learn about the valuable lessons learned in the transition journey on a live environment."
GAM,AWS re:Invent 2024 - Scaling GPU infrastructure and using LLMs for Roblox's metaverse (GAM312),Md1jBnrmN3g,"Roblox, one of the largest online metaverse platforms, has experienced unprecedented growth in recent years, attracting millions of users to its immersive virtual world. With such a massive user base, ensuring a seamless and engaging experience for all players requires substantial computational resources, particularly for rendering complex 3D environments and facilitating real-time interactions. Gain insights into Roblox's approach to forecasting GPU requirements, enabling proactive resource provisioning and efficient utilization. Learn more about the challenges and opportunities in scaling GPU infrastructure and using LLMs for metaverse applications to meet the ever-increasing demands of their metaverse platform."
GAM,AWS re:Invent 2024 - How Star Wars: Hunters got to the next level with Amazon GameLift (GAM308),LMoHFlZeQes,"Like playing multiplayer arena battle games in a galaxy far, far away? Discover how Zynga utilized Amazon GameLift to support a worldwide game launch of the studio’s first real-time arena-based title. Built on Unreal Engine, Star Wars: Hunters launched worldwide on June 4, 2024 in 14 AWS Regions. Dive into multiplayer game challenges, including development pipelines and infrastructure management. See an example of how to leverage Amazon GameLift for global presence, auto scaling, and matchmaking while minimizing costs and maximizing developer and QA productivity."
GAM,AWS re:Invent 2024 - Effortless game launches: How League of Legends runs at scale on AWS (GAM307),iNYmyuFVMCo,"Discover how Riot Games, the studio behind League of Legends and VALORANT, revolutionized their game server infrastructure with AWS. Explore how they used AWS auto scaling to significantly cut their game server fleet costs while boosting their ability to rapidly respond to shifts in player demand, which helped them take creative risks in updating their games. Learn how they developed a flexible Game Provisioning Platform that can automatically spin up game servers tailored to the unique requirements of different Riot titles, allowing them to quickly roll out new game modes, test experimental ideas, and provide the best possible player experiences."
GAM,AWS re:Invent 2024 - How Supercell’s newest game launched with tens of millions of players (GAM309),e7ou_bPqWBA,"With over 200 million monthly active users, Supercell’s mission is to create great games that as many people as possible play for years and that are remembered forever. In this session, discover how Supercell achieved a successful global launch for its latest game, Squad Busters, with over 40 million pre-launch registrations. Discover how Supercell powers its backend infrastructure by using AWS services like Amazon EC2 Auto Scaling, AWS Graviton, Amazon Aurora I/O-Optimized storage, AWS Countdown, and Amazon CloudFront. Delve into the services and strategy that enable them to handle massive user influxes, while ensuring a seamless worldwide player experience."
HLS,AWS re:Invent 2024 - Claude's role in streamlining drug development (HLS213),goqWzBW7hrM,"In this lightning talk, the Anthropic team shares how leading life sciences companies are using generative AI to revolutionize drug development workflows. Learn how AI is addressing the “cold start” problem in creating critical documents, transforming it into a “quick start” solution. Also explore real-world applications in rapid protocol creation for clinical trials, efficient generation of safety narratives, and streamlined production of clinical safety reports."
HLS,AWS re:Invent 2024 - Accelerating healthcare & life sciences innovation with generative AI (HLS201),0EG0PYuxGAg,"Healthcare and life sciences are harnessing the power of generative AI to unlock new possibilities for drug discovery, clinical trials, and patient care. In this talk, explore how leading healthcare and life sciences organizations are successfully integrating generative AI throughout their organizations to deliver real business value. Explore how these organizations are building enterprise-wide data strategies and data systems to break down internal data silos and fuel their data and generative AI initiatives. Gain insights and best practices for successfully operationalizing and scaling generative AI from pilot projects to production deployments across the health continuum."
HLS,AWS re:Invent 2024 - Scale clinical diagnostic operations: Natera's genomic innovation (HLS206),csbfwFbg8zE,"In this session, discover how clinical diagnostics company Natera used AWS to transform their genomic data processing and unlock groundbreaking clinical insights. Learn how they seamlessly integrated their laboratory data workflows with AWS, enabling scalable and cost-effective processing of millions of clinical tests annually. Dive deep into their use of AWS HealthOmics, which helped power genomic analysis and personalized treatment mapping for oncology, women's health, and fetal health assessments. Take away valuable insights into the benefits of their AWS migration, including reduced costs, scalability, and robust data provenance."
HLS,AWS re:Invent 2024 - Accelerate healthcare innovation: TriZetto's data-powered approach (HLS208),iwmmBTMpEHo,"In this session, learn how Cognizant® TriZetto®, a leading healthcare software provider, modernized its software and processes and unlocked the power of data for healthcare payers and providers. This session explores TriZetto's journey to migrate mission-critical products like Facets and QNXT to AWS, optimizing costs, improving system availability, and enhancing operations through advanced analytics and AI. Learn how this migration enabled TriZetto to drive innovation and reduce operational costs through the power of cloud technology."
HLS,AWS re:Invent 2024 - How Merck improves drug design with biological foundation models (HLS215),f5Bmf_axRNw,"In this session, learn how Merck is modernizing its drug discovery process with the integration of biological foundation models. Merck shares firsthand experience into how the company has modernized its generative biology inference stack using AWS HealthOmics, which helps them scale and unlock new insights."
HLS,AWS re:Invent 2024 - Geisinger's epic journey: Scaling EHR operations on AWS (HLS207),ASwIw-lS7Mw,"Join us to discover how Geisinger, who operates the largest single instance of Epic on any public cloud, leverages AWS to optimize costs, create efficiencies, and improve the clinician and staff experience. As a HIMSS Stage 7 and CHIME Level 10 awardee, Geisinger shares their cloud transformation journey, highlighting significant performance and cost improvements since their Wave 0 migration in Q4 2022. Gain insights into embracing FinOps practices, enhancing reliability, and driving margin improvement through their pioneering EHR migration on AWS."
HLS,AWS re:Invent 2024 - Improve clinical trial coverage analysis with generative AI (HLS212),jVu6WQ0qM_k,"In this lightning talk, discover how Huron developed a powerful tool leveraging Amazon Bedrock that streamlines the analysis of complex clinical trial documents, automating the extraction of critical information necessary for back-office support. Integrated with an API to Smartsheet, the tool facilitates over 50 prompts to run and extract data in a single sitting, processing multiple documents simultaneously with precision. It identifies key medical terminology and clinical research language, using the extracted data to accurately determine insurance coverage for insurers and patients participating in clinical trials. Learn how Huron has significantly reduced the manual workload for their consulting team, enhancing both the accuracy and speed of service delivery for clients."
HLS,AWS re:Invent 2024 - Froedtert Health transforms patient engagement with generative AI (HLS214),mlP_oP5LrIQ,"Froedtert & the Medical College of Wisconsin (MCW) built a transformative digital health platform using AWS. This session explores their innovative use of Amazon SageMaker, AWS Lambda, and other services to create AI-driven applications now serving 70,000 patients monthly. Learn how Froedtert & MCW achieved a threefold increase in platform engagement, enhanced preventive care adherence, and accelerated development. Uncover strategies for implementing HIPAA-eligible infrastructure, crafting personalized care recommendations, and integrating self-service tools. Gain insights applying cloud technologies to improve patient experiences and utilizing serverless architecture for deployment of patient-centric solutions in a rapidly evolving healthcare landscape."
HLS,AWS re:Invent 2024 - Creating powerful member experiences: Cigna’s AWS HealthLake journey (HLS220),ZkVqCudak7k,"Discover how Cigna migrated their data interoperability platform to AWS HealthLake to lower TCO, improve platform scalability, and deliver personalized experiences to their members. Learn how Cigna developed a unified data interoperability layer across multiple businesses to power member applications and deliver real-time analytics, allowing for future innovation that will integrate generative AI for advanced insights and personalized care. Gain insights into how Cigna drives innovation, improves patient outcomes, and delivers exceptional value through their industry-leading healthcare solution on AWS."
MAE,AWS re:Invent 2024 - Sky: Enhancing sports experiences with automation and generative AI (MAE202),fJfxCftCF48,"Integrated with Sky TV, NOW TV, and the Sky Sports app, Sky Sports+ is a fully automated end-to-end live events platform that provides up to 100 concurrent live video streams. In this session, discover how Sky Sports+ uses AWS to deliver features for an enhanced immersive viewing experience, exclusive access to documentaries, and a dedicated linear channel. Explore how AWS powered automation, data mesh, acquisition platform, cloud production expansion, and generative AI are used to augment Sky’s platform capabilities across digital and linear channels."
MAE,AWS re:Invent 2024 - Never a slow news day: Transforming 24/7 news operations (MAE204),UcD82jp_tZQ,"News organizations face an increasing number of challenges including streamlining content production, coordinating efforts across distributed teams, driving audience engagement on a growing number of platforms, improving content and resource efficiency, and adopting new tools and workflows—all while covering breaking news. Learn how CBS News and Stations and CNN use AWS to overcome these challenges while providing 24/7/365 news to their viewers. Learn about the technical and transformation strategies for maximizing the value of current and archival content, accelerating workflows, effectively using ML and generative AI, and increasing viewer engagement."
