title,video_id,description
​AWS re:Invent 2024 - Customer Keynote Anthropic | AWS Events,KJFnCx0DFsg,"Tom Brown, Cofounder and Chief Compute Officer at Anthropic, takes the stage as the sole customer speaker during Peter DeSantis' Monday Night Live Keynote. Tom discusses how AWS Trainium2 UltraServers enable Anthropic to push the boundary of inference interactiveness and training efficiency for the next SOTA models. He touches on what makes Trainium2 chips unique by delving into NKI (Neuron Kernel Interface) and how building kernels on Trainium2 gives developers full control of the chip (ISA) and the ability to move fast with innovation. Finally, Tom announces that the next generation of their Claude LLM will train using Project Rainier, a new AWS ultracluster of Trainium2 chips."
AWS re:Invent 2024 - What’s new with Amazon Q Business (AIM237),ytaJPyRCYlw,"As enterprises grapple with fast technological change, join this session to learn about the latest product releases with Amazon Q Business. The session dives into the latest features and enhancements of Amazon Q Business, demonstrating how to deploy an Amazon Q Business application that leverages your enterprise content—empowering employees to answer questions, provide summaries, generate content, and securely complete tasks."
"AWS re:Invent 2024 - Conquer AI performance, cost, and scale with AWS AI chips (CMP209)",u2jDFYvXgDE,"Generative AI promises to revolutionize industries, but its immense computational demands and escalating costs pose significant challenges. To overcome these hurdles, AWS designed purposely built AI chips including AWS Trainium2 and AWS Inferentia2. In this session, get a close look at the innovation across silicon, server, and data center. Also, hear from AWS customer Poolside and the Amazon internal teams working on Rufus (Amazon’s generative AI assistant) about how they are building, deploying, and scaling foundation models across various products and services using AWS AI chips."
AWS re:Invent 2024 - How HP Inc. scales and manages mission-critical SAP workloads on AWS (MAM241),CdSUVyuT_ss,"HP Inc.‘s SAP landscape is among the largest in the world—supporting mission-critical business processes like finance, supply chain, manufacturing, and master data management. In this session, HP Inc. provides insights on scaling their SAP S/4HANA and SAP Business Warehouse systems using both scale-up and scale-out architectures. HP Inc. also discusses their recent migration to RISE with SAP, highlighting lessons learned and providing important insights from their cloud journey."
"AWS re:Invent 2024 - How Mindbody migrated 60,000 SQL Server databases to AWS (XNT317)",_3_WXXBGJCE,"Mindbody’s complex monolithic application, built with Windows Server and over 60,000 SQL Server databases, underwent a multi-phased migration journey from its data centers to AWS Local Zones and Regions. During its migration testing, Mindbody needed to use the elasticity and capacity of the AWS Cloud, but they experienced application latency issues. In this session, technical leaders from Mindbody and AWS share Mindbody’s migration journey: the challenges; architecture designs; technical, licensing, and cost considerations; lessons learned; and successful outcomes. Learn how Mindbody’s journey created new opportunities, improved application reliability, reduced costs, and unleashed innovation."
AWS re:Invent 2024 - Cloud security novice to expert in 10 steps: Actionable CNAPP approach (SEC205),Uq_wgrnN1IM,"What’s step one for protecting cloud-native applications: CSPM, CWPP, CIEM, DSPM, or CNAPP? Go beyond acronyms and learn how to improve your security quickly and simply by understanding security findings in context—workloads, infrastructure, identities, network, and sensitive data—and then prioritize risks that matter most. Join this session to learn how a unified platform empowers multiple stakeholders to unify identity-driven visibility, risk prioritization, and remediation across complex cloud and hybrid environments. This presentation is brought to you by Tenable, an AWS Partner."
AWS re:Invent 2024 - Scaling and securing private workloads using Amazon API Gateway (SVS318),GvyyJQ5m7x0,"In this session, explore how Amazon API Gateway private REST APIs can help organizations address the challenges of managing internal API workloads at scale. Learn about capabilities like access control, resource isolation, and scalability for securing and maintaining consistent API strategies across teams. Discover the latest enhancements for private REST API endpoints. Gain insights from real-world experience using these APIs to streamline workflows, enhance collaboration, and build a secure, scalable API ecosystem. Leave with a deeper understanding of how to secure your APIs and practical approaches for building these endpoints."
AWS re:Invent 2024 - An insider’s look into architecture choices for Amazon DynamoDB (DAT419),csvPepC6tKk,"To overcome the performance and scale limitations of relational databases, AWS built Amazon DynamoDB to deliver consistent single-digit millisecond performance at any scale for the most demanding applications on the planet. In this session, learn about the architecture choices for Amazon DynamoDB. Gain a better understanding of when to use DynamoDB and why DynamoDB is used by over one million AWS customers to power hundreds of applications that exceed half a million requests per second. Leave with a new perspective on how to design your own applications."
AWS re:Invent 2024 - Partner  Keynote Caylent | AWS Events,KCs__i_hQbg,"Valerie Henderson, President and Chief Revenue Officer of Caylent joins the 2024 AWS Partner Keynote stage to discuss Caylent's journey as an AWS Partner leading to Migration Consulting Partner of the Year for 2024. Valerie covers Caylent's success with the Migration Acceleration Program (MAP) 2.0 and showcases Caylent’s recent growth and successes with customers."
"AWS re:Invent 2024 - How to build a real-time gen AI app with AWS, Confluent & Anthropic (AIM341)",ooR7_jXwTM8,"Today’s enterprise data architectures limit AI’s potential for fast, informed decision-making. In this session, join experts from Confluent, AWS, and Anthropic to discover how to integrate Confluent’s scalable data streaming platform with Amazon Bedrock, a fully managed generative AI AWS service, to build innovative solutions. Learn how to integrate real-time context at query time with continuous processing and ingestion into vector databases, which is critical for RAG-enabled gen AI applications. Explore patterns for ingesting, processing, and serving data streams at scale, leveraging Confluent’s data streaming platform and Anthropic’s advanced LLMs for trustworthy, real-time data streams and secure, scalable AI solutions. This presentation is brought to you by Confluent, an AWS Partner."
AWS re:Invent 2024- Discover how automotive industry drives user adoption in smart mobility (COP210),a3_ZLHRXKj4,"In this session, discover how Intel and AWS are working with a leading Asian automotive company for their smart mobility journey and its cloud transformation. Learn about the robust CCoE they’re establishing and how they’re optimizing cloud operations and driving innovation. Hear how, despite initial challenges, they overcame hurdles and accelerated adoption using Intel and AWS technologies. This session shares insights from the company’s technological and organizational transformation, offering valuable lessons for other organizations aiming to enhance products and processes with smart technologies and cloud excellence. Learn how Intel and AWS can support your company’s innovation, cloud maturity, and customer satisfaction across various industries. This session is brought to you by Intel, an AWS Partner."
AWS re:Invent 2024 - Revolutionizing sports with generative AI: The Bundesliga trailblazer (SPT207),VTuhr6FSY14,"The Bundesliga is pushing boundaries and elevating the sports industry through its pioneering adoption of generative AI. Discover their transformative journey: crafting an impactful generative AI strategy, transforming text-based content into captivating story formats for a global fanbase, serving personalized and localized content to their fans, piloting dynamic, real-time match commentary, and generating personalized stories using match data for international broadcasters. This session offers invaluable insights into the Bundesliga’s trailblazing approach to generative AI and its potential to reshape the sports industry. Witness how cutting-edge generative AI technologies can elevate your organization’s game and captivate audiences like never before."
AWS re:Invent 2024 - Effortless game launches: How League of Legends runs at scale on AWS (GAM307),iNYmyuFVMCo,"Discover how Riot Games, the studio behind League of Legends and VALORANT, revolutionized their game server infrastructure with AWS. Explore how they used AWS auto scaling to significantly cut their game server fleet costs while boosting their ability to rapidly respond to shifts in player demand, which helped them take creative risks in updating their games. Learn how they developed a flexible Game Provisioning Platform that can automatically spin up game servers tailored to the unique requirements of different Riot titles, allowing them to quickly roll out new game modes, test experimental ideas, and provide the best possible player experiences."
AWS re:Invent 2024 - Optimizing for high performance with Amazon ElastiCache Serverless (DAT327),iJMajVNrOdE,"Learn how to build highly scalable, high-performance applications with Amazon ElastiCache Serverless. View how ElastiCache Serverless works behind the scenes and dive deeper into the metrics to help you identify and debug application performance issues. This session will help you to build effective applications using ElastiCache Serverless and to leverage the design of the service to your advantage."
AWS re:Invent 2024 - Continuous integration and continuous delivery (CI/CD) for AWS (DOP202),SDrW7ORp4r8,"AWS provides one place where you can plan work, collaborate on code, and build, test, and deploy applications with continuous integration and continuous delivery (CI/CD) tools. In this session, learn about creating complete CI/CD pipelines using infrastructure as code on AWS."
AWS re:Invent 2024 - Monitor and manage data quality (ANT343),da5oBKEfJj8,"The quality of data powers business decisions that drive outcomes. Successful businesses run on trusted data that is reliable and accurate. Join this session to learn how to apply Amazon DataZone and AWS Glue to deliver data integrity and consistency through precise data transformation, data cataloging, data governance, and data lineage, as well as to set up data quality checks, automate validation processes, and manage metadata."
AWS re:Invent 2024 - How Netflix handles sudden load spikes in the cloud (NFX301),TkFyZyxFRBM,"Netflix operates at full active across four AWS Regions, serving their global traffic by intelligently steering users and managing costs via thousands of auto scaling compute server groups. At various times, traffic surges hit their service that could exceed capacity. In this session, walk through how Netflix solves these problems by pairing predictive automated pre-scaling with fast reactive auto scaling in combination with advanced resilience techniques like prioritized load shedding, cross-Region traffic shifting, targeted capacity injection by service criticality, and more. Discover how to maintain a low level of spend while being ready for sudden load spikes."
AWS re:Invent 2024 - Future horizons: How AWS and partners drive public sector missions (PEX212),LFUBgMR60KY,"In this session, Rishi Bhaskar, Director of Public Sector Partner Sales at AWS, unveils strategies to drive public sector missions through collaborative innovation. Discover AWS’s 2025 vision and how AWS empowers partners to leverage advanced technologies, aiding public sector organizations in navigating complexities and investing in modernization. Explore unprecedented opportunities for innovation, efficiency, and productivity through generative AI. Hear from partners and customers across sectors on accelerating citizen impact and driving innovation. Learn how to build your roadmap for success, creating growth opportunities that serve society in new ways. This session is intended for AWS Partners."
AWS re:Invent 2024 - Delivering customer success through Data Cloud and Agentforce,CgUfOqaHjNA,"Salesforce’s Data Cloud transforms how organizations activate, process, and utilize customer data across sales, service, and analytical applications. Hear from Raveendrnathan Loganathan, EVP of Software Engineering at Salesforce, to learn how Salesforce uses advanced data APIs, semantic modeling, and AI-driven governance in its Agentforce feature."
AWS re:Invent 2024 - Building resilient applications and environments: Is less more? (SEC208),6VXOJuNMo_k,"Even with the high availability and reliability of AWS, simply migrating or modernizing an application on AWS doesn’t ensure resilience. Infrastructure issues, misconfigurations, and security events can still affect uptime. Join this demo-filled session to learn what true data resilience means and how to build it. Discover how to go beyond basic backup by creating a resilient environment that enhances efficiency and security. Explore data backup, recovery, security, and cost optimization to keep your applications running smoothly. Join this session with Veeam Software, a global leader in data resilience, to learn how to enhance your AWS experience. This presentation is brought to you by Veeam Software, an AWS Partner."
AWS re:Invent 2024 - Building core capabilities: The secret to innovation at scale (SEG206),JGP1iwixoY8,"Unlock the potential of your business by learning the art of building core capabilities, the ultimate accelerators of innovation. From customer data platforms and personalization engines to fraud detection systems and conversational AI, discover how these platforms can empower your teams to innovate with speed and efficiency. Explore the patterns that define successful platforms, hear insights gathered from real-world customer interactions, and see a roadmap for initiating and scaling your own platform-driven transformation. Whether you’re a technical expert or a business leader, join this session to gain actionable strategies and start your journey toward scalable disruption and cost-efficient innovation."
AWS re:Invent 2024 - Igniting public sector innovation for a better tomorrow (WPS202),WDX44-_tzmE,"The public sector landscape is rapidly shifting, presenting organizations with complex hurdles that demand unprecedented and transformative approaches. Join Dave Levy, Vice President of Worldwide Public Sector at AWS, where he explores how cutting-edge AI and ML solutions are revolutionizing the space. Gain insights from real-world examples and uncover the boundless potential to drive change and forge a brighter future for citizens, constituents, students, service members, patients, and beyond."
AWS re:Invent 2024 - Large Geometry Models: Transforming advanced engineering with AI  (STP101),BRkxH-JOc08,"Get ready for an exhilarating glimpse into how generative AI is transforming simulation engineering in advanced industries. In this session, PhysicsX showcases their first Large Geometry Model, trained and provisioned on AWS Batch and Amazon EC2. Learn how advanced computer-aided engineering simulation, AI, and generative methods are reinventing the design and operation of machines and products in industries such as semiconductors, automotive, renewables, and aerospace, allowing customers to bring their products to the market faster while increasing product performance."
AWS re:Invent 2024 - What is an AI-first company? Finding the path to AI transformation (AIM270),dujFkEW6zYU,"This lightning talk addresses what it means to be an AI-first company and the steps required to achieve this transformation. Explore the challenges businesses face, the cultural and strategic shifts necessary for success, and the critical platforms needed to embed AI into core operations. Also learn how Atos’s MLOps and GenOps solutions can help overcome these challenges by streamlining AI model development, deployment, and governance at scale. Gain insights into driving innovation, optimizing decision-making, and accelerating your AI journey with proven operational frameworks. This presentation is brought to you by Atos, an AWS Partner."
AWS re:Invent 2024 - Building a resilient and effective culture of security (SEC217),1OtRolVpNRU,"Organizations today face pressure to rapidly deliver innovative, secure solutions and embrace disruptive technologies like generative AI. This must be balanced against privacy and security requirements. At AWS, we have found that culture has a greater impact on success than either strategy or technology. This talk offers guidance on cultivating a resilient, empowering culture of security, including gaining leadership support, distributing security ownership, and embedding psychological safety to build trust, transparency, and a proactive security-first mindset. By fostering a resilient culture of security, companies can better protect customers, safeguard data, and achieve a sustainable competitive advantage."
AWS re:Invent 2024 - Empower your data journey with Amazon DataZone’s data lineage (ANT207-NEW),p9h2JJSLq4c,"Worried about using the right data for analysis? With the new OpenLineage-compatible data lineage feature in Amazon DataZone, you can now trace the origin, transformations, and usage of data in one easy view. Automate lineage capture from AWS Glue, Amazon Redshift, and more to gain deep insights into your data’s journey. Join this session to explore how this powerful feature helps data teams confidently understand and use data to drive business value."
AWS re:Invent 2024 -Amazon Elastic VMware Service: Start your modernization journey with AWS -MAM119,OJ7cR7HxUPs,"Amazon Elastic VMware Service (Amazon EVS) is a simple path to migrate and run your VMware-based workloads to AWS while using existing skills and familiar software. Learn about key features, and see how your VMs can benefit from the simplicity, flexibility, security, and control offered by Amazon EVS. Join the team that built this solution to understand how you can leverage your existing VMware Cloud Foundation (VCF) subscriptions, VMware investments, and preferred tools while tapping into cloud benefits. Learn how you can deploy your VCF environment on AWS and how Amazon EVS can help meet your specific needs."
AWS re:Invent 2024 - Revolutionize business with SAP & AWS: Future of AI-powered SaaS ERP (MAM111),D8B75sENjjQ,"In today's dynamic market, thriving means leveraging the power of cutting-edge technology. Join SAP to explore how the powerful combination of comprehensive cloud services can help you achieve your business goals. In this lightning talk, learn how SAP and AWS can help you transform your business while maximizing performance and business resilience. Walk away from this talk ready to simplify everyday work, grow your business, and secure your success with the latest advancements in cloud ERP, AI, and integrated services. This presentation is brought to you by SAP, an AWS Partner."
AWS re:Invent 2024 - Unleash the power of gen AI from edge to cloud with Intel technology (AIM235),uQ9pMOtAC4Q,"Intel provides customers with a broad product portfolio and a path to rapidly implementing AI projects with AWS in the cloud and at the edge. Hear from industry partners Accenture and Storm Reply on how they utilize Intel technologies to harness the power of AI. In addition, Manchester Airport Group shares how Intel and AWS enabled successful and rapid deployment of edge AI capabilities. Lastly, dive into a case study from the Technology Innovation Institute (TII) on Falcon, their family of state-of-the-art language models, and learn how they are working to democratize and optimize the usage of Falcon for Intel CPUs. This presentation is brought to you by Intel, an AWS Partner."
AWS re:Invent 2024 - How organizations are reinventing themselves by leveraging data (ANT102),S9oU_Ry9DOg,"Modernizing and transforming the data ecosystem can significantly enhance a company’s operational efficiency and market agility. Join this session to learn how Cox Communications is transforming its vast data into a powerful asset, enabling insights into customer behavior, network performance, and operational metrics to make faster, smarter decisions. This empowers Cox to personalize customer experiences, optimize network operations, drive revenue growth, and reduce costs. The fundamental capabilities of the data ecosystem provide governed and trusted data on an open architecture that is scalable and secure. This transformation is fueling a culture of innovation, driving real, measurable business impact. This presentation is brought to you by Capgemini, an AWS Partner."
"AWS re:Invent 2024 - Data security in the cloud, from Xsolis, an AI leader in healthcare (SEC224)",mjntaRt1vp0,"Privacy is paramount in healthcare, where companies handle extremely sensitive patient health information, and strong cybersecurity is essential. Xsolis is an AI-driven technology company that has been improving efficiency and collaboration between healthcare providers and payers since 2013, and it needed to enhance its security posture to keep pace with its growth. In this session, explore how this fast-growing healthcare technology leader is achieving stringent HIPAA and HITRUST compliance, swiftly addressing vulnerabilities, and securely transitioning to a microservices architecture by partnering with Trend Micro. This presentation is brought to you by Trend Micro, an AWS Partner."
AWS re:Invent 2024 - The rising need for customer trust in cybersecurity (SEC107),JcE3QkiaGdg,"Join Nimrod Vax, Chief Product Officer & Founder of BigID; George Gerchow, Head of Trust at MongoDB; and Ben Cefalo, VP of Product Management at MongoDB, as they explore the growing importance of the customer trust function in today’s cybersecurity landscape. With increasing complexities around data privacy, customer expectations for transparency are higher than ever. In this session, the panel discusses how proactive security measures and a strong focus on trust can help organizations navigate these challenges, enhance efficiency, and meet customer needs. Hear from BigID’s CEO on how their approach to data intelligence supports building trust and how partnering with MongoDB strengthens customer relationships and drives business value. This presentation is brought to you by MongoDB, an AWS Partner."
AWS re:Invent 2024 - Itaú and Intel: Innovating for cloud optimization and performance (COP211),ZKxY1oT8u1o,"Itaú’s cloud transformation has been critical in meeting their FinOps objectives. In this session, learn how Itaú’s internal lab—Intel Cloud Center of Expertise, a cutting-edge setup for testing and optimizing companywide solutions using Intel's latest Xeon processors, Intel Accelerator Engines, and software—has helped heighten their customer services and experiences. Explore their learnings in cloud performance, optimization, and use of AI in supporting Itaú's cloud journey, and discover how you can replicate their success to reach your objectives in any industry. This presentation is brought to you by Intel, an AWS Partner."
AWS re:Invent 2024 - SIXT’s AWS journey: How IBM observability enables cloud transformation (AIM109),q4fkWaZVK9A,"Enterprises must ensure that hybrid cloud strategies and AI-powered automation are driving cloud-native success, from scaling generative AI to optimizing IT environments. Explore how to design an intentional architecture that drives cloud-native innovation and automation while ensuring operational resilience and cost efficiency. Hear how SIXT’s SRE Platform Team used Instana’s observability solutions to accelerate their AWS Cloud transformation, leveraging real-time monitoring and automation to optimize cloud-native applications, reduce operational complexity, and deliver faster time to market for new services. This presentation is brought to you by IBM, an AWS Partner."
AWS re:Invent 2024 - Advancing state-of-the-art science and AI in financial services (AIM263),DEtL8R_yyU4,"As organizations look to build and scale their AI efforts in a cloud-enabled enterprise, it’s more important than ever to take an integrated approach that mobilizes cross-functional partners, enables the use of cutting-edge tools, and stays at the forefront of the latest science and applied research. In this session, Capital One shares insights from building programs for generative AI at scale, tools and platforms that help data scientists and engineers put models into production, and insights for using state-of-the-art AI research advances to inform and evolve enterprise AI capabilities and applications. This presentation is brought to you by Capital One, an AWS Partner."
AWS re:Invent 2024 - Accelerate your generative AI journey with AWS [Japanese] (GBL207),fow2dM8ByDE,This lightning talk is delivered in Japanese. This talk shares the highlights of AWS re:Invent 2024 and discusses what you need to know to use the latest generative AI services on AWS.
AWS re:Invent 2024 - Unlock business value with gen AI in the robotics and battery industry (GBL204),Vft0x8zvOaA,"This session is delivered in Korean. Doosan Robotics simplifies traditional robotic arm implementation by harnessing generative AI to interpret natural language instructions into executable trajectories, streamlining the process into a single operational step and enhancing efficiency. LG Energy Solution uses Amazon SageMaker, Amazon Forecast, and Amazon Bedrock to accurately predict electric vehicle sales and battery demand, enabling data-driven inventory management and production planning. In this session, learn about driving manufacturing innovation for enhanced business agility while ensuring data security."
AWS re:Invent 2024 - An open collaboration for HPC acceleration (ENU305),xcJsPuN-3DA,"In this session, customers learn about Energy HPC Orchestrator (EHO). EHO is an innovative framework designed to transform the execution and operation of traditional energy high performance computing (HPC) applications. It proposes an open industry platform and marketplace for operators, software providers, and academia to deliver innovative seismic processing, imaging, AI/ML, and other state-of-the-art HPC algorithms and workflows. EHO cultivates a competitive environment that encourages innovation within a cloud-native framework, focusing on scalability, fault tolerance, performance optimization, and cost efficiency. By leveraging the latest in cloud technology, EHO enhances efficiency, reliability, and flexibility of existing systems."
AWS re:Invent 2024 - Beyond connectivity: Transforming businesses with intelligent IoT (IOT205),fsanSq4og3U,"This session explores how recent advancements in AI are evolving the Internet of Things (IoT) into an engine for real-world intelligence, autonomy, and actionable insights. Explore how an increasingly connected world is driving deeper systems-level intelligence across healthcare, consumer products, automotive, manufacturing, energy, and utilities. The HP Inc. team shares their journey revolutionizing the world of industrial printing through intelligent automation. Finally, learn how to get started with IoT and AI/ML services on AWS and patterns to accelerate time to value when building and deploying intelligent IoT products and solutions."
AWS re:Invent 2024 - Refactor mainframe applications faster with AI and managed services (MAM109),Y739StnVQ_k,"Innovations in AI open up opportunities to refactor legacy applications such as COBOL, RPG, and others to modern languages like Java faster and more efficiently than before. Discover how AWS Mainframe Modernization Refactor with AWS Blu Age uses generative AI, AI, and fully managed cloud services for assessment, transformation, project management, and compliance. Learn about the scalability, reliability, security, and agility enabled by the fully managed service environments, and hear from Transamerica on how they have refactored mainframe applications with AWS Blu Age."
AWS re:Invent 2024 - Practical applications of edge compute in Amazon CloudFront (CDN401),rrlppOVdGYY,"With an increasingly more powerful serverless environment coupled with content delivery network (CDN) capabilities, Amazon CloudFront empowers developers to build web applications that execute functions closer to end users, tailoring content delivery to the unique needs of users. This session delves into how to leverage the latest edge compute features while optimizing for both performance and scalability. Learn best practices and patterns for deploying custom logic at the edge, enabling you to harness the full potential of CloudFront's evolving features."
AWS re:Invent 2024 - DBS Bank: Transforming quant pricing engine with AWS and Intel (COP208),UcRtjDm4VvA,"DBS Bank, a leading financial services group in Asia, has successfully transformed its Quant pricing and risk engines by using modern AWS and Intel technologies. Learn about the DBS Quant team’s minimalist and elegant solution, which required less development effort and enabled fast delivery, rapid customer request for quote pricing, and large-scale risk evaluation. Explore how AWS and Intel’s scalable, robust, and efficient cloud service helped DBS Bank achieve faster pricing speed, better customer experience, short time to market, and reduced costs. Hear from experts as they share the latest trends in risk simulation and how cloud optimization can help you achieve your goals. This presentation is brought to you by Intel, an AWS Partner."
AWS re:Invent 2024 - Back to basics: EC2 compute best practices for cloud modernization (COP209),9eySO88TqjM,"When deploying solutions in the cloud, choosing the right infrastructure can have a large impact on your bottom line. By moving to the latest Amazon EC2 instances based on custom Intel silicon, Hypori’s mobile security solution accesses innovative technologies like the Intel Data Streaming Accelerator (Intel DSA), enabling support of 15% more clients within the same infrastructure. In this session, hear from Hypori and Intel about how collaboration with AWS facilitated Hypori's cloud modernization journey, and see other examples of how to effectively advance your cloud solutions. This presentation is brought to you by Intel, an AWS Partner."
AWS re:Invent 2024 - Build AI agents with Salesforce Agentforce (AIM131),L-nBTPYcTKQ,"Learn how to transform the way work gets done by building AI agents on Salesforce Agentforce. This presentation is brought to you by Salesforce, an AWS Partner."
AWS re:Invent 2024 - The ideal micro-frontends platform (ARC325),J_y4-haLf8s,"How can I implement micro-frontends in my company? What recommendations do you have? In this session, get answers to these common questions. Discover the key characteristics necessary for constructing effective frontend distributed systems. Also learn the best practices and tools for developing micro frontends based on real-world examples."
AWS re:Invent 2024 - Innovate with analytics and governance: Customer Panel (ANT203),CgxQtmYEuzU,"Discover cutting-edge data governance strategies with AWS in this exciting customer panel. Learn how leading organizations transform their data management practices to accelerate data-driven decisions while ensuring security and compliance. Hear firsthand from AWS customers about their innovative approaches to automating data integration and quality, curating data to prevent proliferation, and using centralized catalogs to boost data literacy. Explore how these pioneers are tackling emerging trends like generative AI and applying precise permissions for confident data sharing. Don’t miss this chance to gain actionable insights and see real-world examples of successful data governance in action."
AWS re:Invent 2024 - Reimagining the developer experience at AWS (DOP220),0efIsUYu4CA,"Software development is undergoing a huge shift driven by generative AI, which is transforming how developers work, what they build, and who can become a developer. AWS empowers developers to fearlessly embrace this evolution, integrating cutting-edge yet responsible generative AI agents across the development lifecycle. In this talk, explore real-world use cases that accelerate legacy modernization, elevate cloud-native innovation, and unlock remarkable results. Gain insights into the pragmatic approach by AWS that fuels creativity and customer impact. Generative AI agents are redefining software development, opening new frontiers for innovation, and democratizing access to coding for diverse creators, shaping technology’s future."
